word,tfidf_avg
bagus,0.11293483411778625
mudah,0.0319535679344742
ok,0.029465706394061153
banget,0.028263924250905282
bantu,0.025933462374761095
god,0.02561290347270845
transaksi,0.02063713715886992
masuk,0.019928598484507686
pakai,0.01885426761732868
lambat,0.016012290497655117
buka,0.01443124926243596
cepat,0.013788299324046863
oke,0.013580111924368842
baik,0.01343383249195263
transfer,0.0130524630468927
daftar,0.012830056031246194
aplikasi,0.012400171469780171
susah,0.011397654723658049
ribet,0.011278671012500718
suka,0.010862936153494047
tolong,0.010781768075014214
rekening,0.010531883296586081
kasih,0.010501915679664771
moga,0.010406199990507833
biaya,0.009924618619576558
bayar,0.00955103068739628
baru,0.009496585238341333
buruk,0.00940951077887271
verifikasi,0.009285955196844881
fitur,0.009151529977708052
uang,0.009149176316947553
admin,0.009096865235037372
bagus banget,0.009025181042162603
gagal,0.00889484918828698
tunai,0.00843867205792637
terima,0.008327379342473958
tarik,0.008292114555318761
kartu,0.008233011698830643
coba,0.008145951935159651
aman,0.007626202316264312
sih,0.007438701852846228
wajah,0.007236694512534159
puas,0.0072027139928798065
lancar,0.00711137068394578
terima kasih,0.007017413802586404
pas,0.00695105778833846
akun,0.0069499335316135025
eror,0.006937710225826539
berat,0.006819801512306576
guna,0.006796586338400845
atm,0.0067534020456380605
saldo,0.0066686144996491335
kali,0.006555118741993895
gratis,0.00654622963521689
layan,0.0065243000011137205
hp,0.006446564080182978
kalo,0.006435770191844088
praktis,0.0063291310368833965
proses,0.006290984266020144
bintang,0.006278679962641587
bikin,0.006135566916760991
manfat,0.00596432019776405
data,0.005696965653449841
tabung,0.0056893773654616685
simple,0.005626671141306375
vc,0.0055872904745158155
mantap,0.00557222306684869
nice,0.005455299170871876
by,0.005434581489055099
terimakasih,0.005391254053992077
tingkat,0.005348002480429825
tarik tunai,0.005273816135982441
promo,0.005246976207816093
cs,0.005119247463458182
buka rekening,0.0050375663990046655
mudah transaksi,0.0050306136129048586
best,0.0050253314282925
nyaman,0.0050061127168741105
kode,0.004934327179785637
pokok,0.004876776622456755
mulu,0.004845898480180026
up,0.004837456617055305
biaya admin,0.004829312016821549
blue,0.0047860147306061605
gampang,0.004764391748879483
kena,0.004739670349849411
nih,0.0046753849391284056
tf,0.004642558549728589
mohon,0.004626532461280725
min,0.004620305200836437
cal,0.004567056680746482
muas,0.0045610152395204814
simpel,0.004560959519073885
bagus up,0.004508168833215774
dah,0.004363482496279488
biar,0.004327604462074227
gabisa,0.0042960091660487
keren,0.004246121574251261
deh,0.004243565988690876
kecewa,0.0042309808056554404
mantul,0.0041998204053286916
nabung,0.004192167113871456
no,0.004166831433956857
ktp,0.004128749755759668
jaring,0.004114429666985524
langsung,0.004089013494021011
lumayan,0.0040686510342230545
suruh,0.004064000503563135
depan,0.004031379895857172
dana,0.004014066079578161
video,0.0039912079954051456
nasabah,0.003948853382862644
setor,0.003913061843149721
jam,0.003907131223215865
debit,0.003906873222208503
qris,0.003901193979849582
kendala,0.003817837595768061
tolong baik,0.0038171862028471264
foto,0.0037639297823433564
nungu,0.0037554960970343667
kirim,0.003752925065458172
sulit,0.00371309157161111
video cal,0.0036937190053119417
salah,0.003604312400825348
verifikasi wajah,0.003595106037490954
jos,0.003566429361839615
loading,0.0035490286693216915
the,0.0035229685608491102
sukses,0.0034843035856261845
bagus mudah,0.0034733846237287925
tampil,0.003455215141632961
download,0.0034177276113872383
pinjam,0.0034127810094581744
putus,0.003388647409594229
enak,0.003348539302839967
senang,0.0033311578697375406
potong,0.0033173414221475245
virtual,0.0033124883625457674
butuh,0.0033062923474289747
klo,0.003265113479584534
lengkap,0.0032610302132738537
antri,0.0032337592406408164
sip,0.003231760727504561
nomor,0.0031798540444350682
the best,0.003166542230152728
fiturnya,0.0031544276452617945
menu,0.0031480220502717047
gangu,0.0031237078200637173
orang,0.003113661844780981
cashback,0.003100890449209264
sesuai,0.003066618545619209
isi,0.003065650690938904
ok banget,0.0030597109377472056
ya,0.003047978251653457
tambah,0.0030439614541454252
aktif,0.0030015038232821412
ulang,0.002991555045712386
sampe,0.0029129699415053048
aneh,0.002905399351792652
kartu debit,0.0028996839711955
tolak,0.0028928279544926253
tungu,0.002879408259422594
setor tunai,0.002855337571314694
hasil,0.0028485737494553377
kaya,0.002810578656203419
otp,0.002768733136245097
transaksi mudah,0.0027648399745687745
susah banget,0.002731503752023061
lambat banget,0.002719693478661278
bebas,0.00269825572208182
sistem,0.0026942436547019283
email,0.002669586297100885
mana,0.0026693262442734345
uninstal,0.002668442757759237
bunga,0.0026682758642730627
payah,0.0026276630646177375
hapus,0.002615483809984246
sayang,0.0026007847361224678
pasword,0.002583541748080072
cepet,0.0025757493061438494
mudah cepat,0.0025726719820151306
kena biaya,0.0025720443075356743
alhamdulilah,0.0024972341080718827
akses,0.002486044835720102
respon,0.0024634103849978696
acount,0.0024617921559717836
ko,0.0024559850404130943
kak,0.002445930364634293
si,0.002445120195888723
ganti,0.002407770198402188
saran,0.0023874460565275557
bagus bantu,0.0023717458990721025
